property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,יד אליהו,מונאש 9,3.0,1,70,0,0,12,150.0,50.0,3,"דירת 3 חדרים מקסימה מוארת מאוד קומה 1 
יש מקלט מסודר בבנין, מיקום מושלם !!
מרחק הליכה מתחבורה ציבורית, רכבת, פארקים גני ילדים
מזגנים בחדרים ובסלון- בעלת נכס מדהימה !",0,0,0,1,0,0,0,0,0,0,4650.0,5,5.12
דירה,יד אליהו,אלטמן שדרות החיל  12,4.0,3,95,0,0,12,1000.0,500.0,7,להשכרה דירה במקום מוצלח שלוש כיווני אויר נוטה לפארק דירה חדשה מקבלן שתי מעליות לקומה לובי מפואר חניה ומחסן גדול דירה מוארת,1,1,1,1,0,0,1,1,0,1,8500.0,0,5.54
פרטי/קוטג',רביבים,דיסנגוף  2,5.0,6,2,0,0,6,3000.0,1000.0,10,"🏡💼**דרושים לעבודה ! הזדמנות להרוויח!** 📱💻
בכתיבה ללא ניסיון, העתק הדבק בקבוצות פייסבוקו באתרים, הזנת תוכן ונתונים, ועוד!
שעות עבודה גמישות במהלך היום! (אין משמרות אתם עובדים בשעות שאתם רוצים!) 📝
**מה צריך לעשות -  קורות חיים ניתן לשלוח בוואטספ 050-6158874❤️ **",0,0,1,0,0,0,0,1,0,0,2000.0,0,1.0
דירה,יד אליהו,הגיבור האלמוני  8,3.0,4,60,0,0,12,500.0,200.0,4,"רחוב: הגיבור האלמוני 

ביד אליהו 

דירה של 3  חדרים,כ - 60 מטר,חדשה מהיסוד מקסימה ואיוכתית.

סלון עם מטבח פתוח.

חדרי שינה עם מזגנים.

3 כוון אויר.

נוף פתוח

בניין עם קודן ואינטרקום,ללא מעלית.

קומה 4 - ללא מעלית.

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,5500.0,7,5.62
דירה,רביבים,דב כרמי 4,5.5,5,135,0,0,12,1200.0,700.0,5,"רחוב:דב כרמי 

שכונה: שכונת רביבים( טופ דן).

בניין קטן 8 דיירים עם מעלית, הדירה בק 2 מתו 5, סה״כ 5.5 חד כ 135 בנוי.

במפלס כניסה:

מטבח סלון+12 מר מרפסת, 2 מאסטרים, חדר, ועוד חצי חדר ממ״ד.

במפלס העליון :

מאסטר לא גדול+ גג 56 מר

2 חניות בודדות, מחסן

כנסיה מידית.

דירה של  2  חדרים,כ - 65  מטר, משופצת מפוארת איכותית ויפה, בניין ברמה גבוה.

סלון עם פינת אוכל

חדר שינה עם מזגן 

מרוהטת ברמה גבוה,איוכתית ומקסימה.

מיקום מרכזי בעיר.

כניסה מידית.",1,0,1,1,0,1,1,1,0,1,16000.0,4,9.57
דירה,רביבים,דב כרמי  8,5.5,6,135,0,0,12,1500.0,500.0,6,"שכונה: שכונת רביבים ( טופ דן).
בניין קטן 8 דיירים עם מעלית, הדירה בק 2 מתו 5, סה״כ 5.5 חד כ 135 בנוי.
במפלס כניסה:
מטבח סלון+12 מר מרפסת, 2 מאסטרים, חדר, ועוד חצי חדר ממ״ד.
במפלס העליון :
מאסטר לא גדול+ גג 56 מר
2 חניות בודדות, מחסן
כנסיה מידית.",1,0,1,1,0,0,1,1,0,1,16900.0,8,9.69
דירה,יד אליהו,נגבה 8,4.0,3,100,0,0,12,650.0,500.0,6,"תל אביב - מזרח 

דירה של  4 חדרים כ - 100 מטר משופצת חדשה מקסימה ואיכותית.

חדרי שינה עם מזגנים.

מקלחת ושרותים ביחיד.

ובנוסף עוד אמבטיה ושורתים.

בניין אחרי שיפוץ,הכל חדש.

בניין ללא מעלית,וחניה.

כניסה מידית.",0,0,0,0,0,0,0,0,0,1,7000.0,8,5.13
דירה,יד אליהו,הגיבור האלמוני 5,5.0,1,90,0,0,12,600.0,200.0,7,"להשכרה !!  מחיר:  6950 ש""ח  רחוב: הגיבור האלמוני אזור: יד אליהו  מתאימה ל-3 שותפים / משפחה קומה - 1 מעלית גודל - 90 מטר חדרים - 5 2 חדרי שירותים / 2 חדרי מקלחות כניסה - 1.1.2022 משופצת",1,0,0,1,0,1,0,1,0,1,6950.0,3,5.59
דירה,יד אליהו,הגיבור האלמוני 3,5.0,1,90,0,0,12,600.0,250.0,6,רחוב: הגיבור האלמוני אזור: יד אליהו  מתאימה ל-3 שותפים / משפחה משופצת  קומה - 1 מעלית גודל - 90 מטר חדרים - 4 2 חדרי שירותים / 2 חדרי מקלחות כניסה - 1.1.2022,0,0,1,1,0,1,0,0,0,1,6950.0,6,5.57
דירה,יד אליהו,מרגולין 8,2.5,1,70,0,0,12,380.0,80.0,3,"יד אליהו  דירה של  2.5 חדרים,כ - 70  מטר,משופצת מקסימה ואיכותית. פונה לעורף. סלון עם פינת אוכל. חדרי שינה עם מזגנים. חצי חדר עם מזגן  עברה שיפוץ כללי לפני 3 שנים. מוארת ומקסימה. בבניין מסודר,פונה לעורף ""בבניין יש חניה משותפת""  כניסה מידית",0,0,0,1,0,0,0,0,0,0,5200.0,2,3.72
דירה,יד אליהו,לה גארדיה 33,2.5,1,70,0,0,12,380.0,50.0,3,"2.5 חדרים,כ - 70 מטר,משופצת מקסימה ואיכותית. פונה לעורף. סלון עם פינת אוכל. חדרי שינה עם מזגנים. חצי חדר עם מזגן עברה שיפוץ כללי לפני 3 שנים. מוארת ומקסימה. בבניין מסודר,פונה לעורף ""בבניין יש חניה משותפת"". דירה טובה דירה פונה לעורף .",0,0,0,1,0,0,0,0,0,1,5500.0,11,4.43
דירה,יד אליהו,לה גארדיה 69,2.0,1,53,31,0,12,380.0,250.0,5,"2  חדרים,כ - 51 מטר,חדשה מהקבלן איוכתית ויפה.  סלון עם מטבח פתוח.  יציאה למרפסת שמש של 21 מטר.  פונה לצד.  מלקחת ושרותים ביחיד.  מיקום מעולה ברחוב.  בניין עם מעלית,חניה,ומחסן.  כניסה מידית.",1,0,1,1,0,0,1,1,0,1,5700.0,10,4.95
דירה,יד אליהו,לה גווארדיה 33,2.5,1,70,0,0,12,380.0,50.0,3,"2.5 חדרים,כ - 70  מטר,משופצת מקסימה ואיוכתית.  פונה לעורף.  סלון עם פינת אוכל.  חדרי שינה עם מזגנים.  חצי חדר עם מזגן   עברה שיפוץ כללי לפני 3 שנים.  מוארת ומקסימה.  בבניין מסודר,פונה לעורף  ""בבניין יש חניה משותפת""  כניסה:  15.09.2021",0,0,0,1,0,0,0,0,0,1,5500.0,11,4.43
דירה,יד אליהו,לה גווארדיה  98,4.0,2,94,0,0,12,750.0,200.0,9,"דירה של 4 חדרים,כ - 94 מטר, חדשה מהקבלן איוכתית ויפה.  כוון אויר: צפון,ודרום.  יציאה למרפסת שמש של 18 מטר.   חדרי שינה מרווחים  יח' הורים  אמבטיה ושורתים צמודים.  נוף פתוח.  חניה תת ק""ק,ומעלית,ומחסן.  כניסה מידית.",1,0,1,1,0,0,1,1,0,1,7800.0,9,4.37
